ydatestr,ydate,openp,cp,n1dg1,n1dg2,n2dg1,corrn05,corrn06,corrn07,corrn08,corrn09,n1dg,yval,upprob
1981-09-16,723805,119.77,118.87,-0.00751440260499283,-0.00737609812696835,-0.0148350737609812,0.342438917614233,0.202250686001146,0.366902271181094,0.448878258358903,0.299058263759279,-0.0144695886262303,1,0.460865376541989
1981-09-17,723806,118.87,117.15,-0.0144695886262303,-0.00751440260499283,-0.021875260916757,0.628978942117654,0.484404351799952,0.290305389042783,0.39704549168024,0.459574853309162,-0.00759709773794281,1,0.429633340780026
1981-09-18,723807,117.15,116.26,-0.00759709773794281,-0.0144695886262303,-0.0219567594851518,0.28175266964931,0.701970514524133,0.592025680128253,0.361028824004194,0.430452685571155,0.00842938241871658,2,0.43502280363547
1981-09-21,723810,116.26,117.24,0.00842938241871658,-0.00759709773794281,0.000768245838668282,-0.324574459242489,0.103178060931529,0.657190493117614,0.59668804191037,0.410302942287454,-0.00477652678266793,1,0.509109144878964
1981-09-22,723811,117.24,116.68,-0.00477652678266793,0.00842938241871658,0.0036125924651643,0.143896537072351,0.117101476504814,-0.0721886269002649,0.43897027127144,0.468210193380256,-0.00882756256427838,1,0.51483508702736
1981-09-23,723812,116.68,115.65,-0.00882756256427838,-0.00477652678266793,-0.0135619242579324,0.0607766084750101,0.0767637302045711,0.0890686503625312,-0.0238115983260678,0.392672682272657,-0.00553393860786857,1,0.444990609467116
1981-09-24,723813,115.65,115.01,-0.00553393860786857,-0.00882756256427838,-0.0143126499828591,-0.0481999208038534,0.0532144745840587,0.0655057459175669,0.0752224496906743,-0.015187773895119,-0.0194765672550214,1,0.442605671671586
1981-09-25,723814,114.69,112.77,-0.0194765672550214,-0.00553393860786857,-0.0249027237354086,-0.262183432583653,-0.0130622250754284,0.0530936965792783,0.0620115531124078,0.0700198404394662,0.0244745943069966,2,0.378316837301842
1981-09-28,723817,112.77,115.53,0.0244745943069966,-0.0194765672550214,0.00452134596991562,0.356297107829355,-0.0576601989381943,-0.00575270515918857,0.0337814027037732,0.0338417868501082,0.00354886176750625,2,0.549771464741546
1981-09-29,723818,115.53,115.94,0.00354886176750625,0.0244745943069966,0.0281103130265142,-0.960885959141633,-0.617227991779816,-0.608659613483819,-0.498072447396735,-0.471216874365393,0.00207003622563403,2,0.587175685984332
1981-09-30,723819,115.94,116.18,0.00207003622563403,0.00354886176750625,0.00562624426555878,-0.217047374031837,-0.191894971348307,-0.211931372759068,-0.248931593106876,-0.169454139821502,0.00774660010328793,2,0.518734864177883
1981-10-01,723820,116.18,117.08,0.00774660010328793,0.00207003622563403,0.00983267207176126,-0.28473625228938,-0.208252941390861,-0.172594812959634,-0.196368937313572,-0.236485635093006,0.0194738640245986,2,0.547443911532296
1981-10-02,723821,117.08,119.36,0.0194738640245986,0.00774660010328793,0.0273713203649509,-0.84201050733935,-0.276196222628754,-0.186902927949457,-0.142954375864783,-0.174415931533674,0.00125670241286868,2,0.643249912694079
1981-10-05,723824,119.36,119.51,0.00125670241286868,0.0194738640245986,0.0207550392893748,-0.203546180164945,-0.679422528205247,-0.167736196169131,-0.0626210101492281,-0.0109749681273623,-0.00100410007530754,1,0.571661733673242
1981-10-06,723825,119.51,119.39,-0.00100410007530754,0.00125670241286868,0.000251340482573736,-0.261998926552197,-0.351558623136961,-0.735981243111827,-0.20834195418765,-0.0951057158720792,0.0160817488901918,2,0.497202641238601
1981-10-07,723826,119.39,121.31,0.0160817488901918,-0.00100410007530754,0.0150615011296126,-0.0850896513241969,-0.0162217381148349,-0.105825869242429,-0.609214348746924,-0.18939698611249,0.00824334350012365,2,0.616404116514202
1981-10-08,723827,121.31,122.31,0.00824334350012365,0.0160817488901918,0.0244576597705001,-0.309322535458092,-0.282435726735178,-0.223738461101099,-0.292256758159466,-0.624580219827548,-0.00703131387458098,1,0.608436041539071
1981-10-09,723828,122.31,121.45,-0.00703131387458098,0.00824334350012365,0.00115406809001732,-0.336757200632059,-0.290783727362254,-0.257676781160808,-0.176857096108191,-0.261961870337538,-0.00197612186084816,1,0.475637434623956
1981-10-12,723831,121.45,121.21,-0.00197612186084816,-0.00703131387458098,-0.00899354100237109,-0.182327088829797,-0.228838361659063,-0.21113916535936,-0.219886029383633,-0.177461735374732,-0.00354756208233638,1,0.466370311611867
1981-10-13,723832,121.21,120.78,-0.00354756208233638,-0.00197612186084816,-0.00551667352820092,0.0315671073432095,0.0635439128123109,-0.00118720173283862,0.0399528121215077,0.020936716984329,-0.0163934426229509,1,0.479327961650411
1981-10-14,723833,120.78,118.8,-0.0163934426229509,-0.00354756208233638,-0.0198828479498391,0.549774120077868,0.129683734315443,0.14020341095793,0.0904608574788656,0.136827849128209,0.00765993265993263,2,0.365075084738451
1981-10-15,723834,118.8,119.71,0.00765993265993263,-0.0163934426229509,-0.00885908262957449,-0.0794385860235751,0.595318065540892,0.293931304599411,0.294040466753682,0.271305942195716,-0.00434383092473474,1,0.574739925795927
1981-10-16,723835,119.71,119.19,-0.00434383092473474,0.00765993265993263,0.00328282828282829,-0.781523648932774,-0.621949884243981,0.0338131927779439,0.0209289129197752,0.0170880976682654,-0.00176189277623956,1,0.460779807674296
1981-10-19,723838,119.19,118.98,-0.00176189277623956,-0.00434383092473474,-0.00609807033664681,-0.524774431347098,-0.533300847218885,-0.534435444614245,0.00422032599202355,-0.0287808348044128,0.0109262060850563,2,0.460206384995172
1981-10-20,723839,118.98,120.28,0.0109262060850563,-0.00176189277623956,0.00914506250524376,-0.529741408612366,-0.525318352686835,-0.530885176248037,-0.540001551308441,-0.0011512556628175,-0.00149650814765553,1,0.55992235906478
1981-10-21,723840,120.28,120.1,-0.00149650814765553,0.0109262060850563,0.00941334678097151,-0.570117908065971,-0.342133252101008,-0.348905681796247,-0.336270594298341,-0.403304947240849,-0.00383014154870936,1,0.491197411094195
1981-10-22,723841,120.1,119.64,-0.00383014154870936,-0.00149650814765553,-0.00532091785833057,-0.475320735207103,-0.61867827295352,-0.288561425484913,-0.283064015975052,-0.267717508009767,-0.00869274490137083,1,0.426183105375116
1981-10-23,723842,119.64,118.6,-0.00869274490137083,-0.00383014154870936,-0.0124895920066611,-0.183768030100277,-0.323909048040519,-0.560223087514122,-0.284952366877868,-0.280670227419941,-0.00370994940978076,1,0.395109184786126
1981-10-26,723845,118.6,118.16,-0.00370994940978076,-0.00869274490137083,-0.0123704446673354,0.0379113277664702,0.0580436831449984,-0.0524688806507109,-0.402756766685877,-0.23703673600089,0.0095633039945837,2,0.448358239321144
1981-10-27,723846,118.16,119.29,0.0095633039945837,-0.00370994940978076,0.00581787521079268,0.541519647781045,0.136289126196165,0.138446371048332,0.0282198131506856,-0.320435793639,0.00134126917595772,2,0.582956343530384
1981-10-28,723847,119.29,119.45,0.00134126917595772,0.0095633039945837,0.0109174001354097,0.0873265388640898,0.0417307720346078,0.0158129393834472,0.0362040000278709,-0.0863783803830176,-0.00326496442025953,1,0.525632084805025
1981-10-29,723848,119.45,119.06,-0.00326496442025953,0.00134126917595772,-0.0019280744404393,0.220520772905707,0.212425072086599,0.143911190603266,0.0390782694830428,0.0657414044937805,0.0237695279690912,2,0.484362437537528
