ydate,cp,upprob,pctg,ydatestr
735584,179.22,0.58901267799112,0.0892757504742755,2013-12-16
735585,178.65,0.603132249020838,0.151133501259436,2013-12-17
735586,181.7,0.56482358150136,-0.286186020913584,2013-12-18
735587,181.49,0.585582983594851,-0.440795636123209,2013-12-19
735588,181.56,0.601225693271778,0.490196078431365,2013-12-20
735591,182.53,0.571944723735698,0.00547855147098609,2013-12-23
735592,182.93,0.586263460883027,0.224129448422892,2013-12-24
735594,183.86,0.570104098559573,0.130534102034146,2013-12-26
735595,183.85,0.575800914444451,0.0108784335055808,2013-12-27
735598,183.82,0.583699877172506,0.136002611250136,2013-12-30
735599,184.69,0.581455556185383,-0.384427960366023,2013-12-31
735601,182.92,0.621567346876969,0.169472993658431,2014-01-02
735602,182.89,0.603678255692948,0.32806605063154,2014-01-03
735605,182.36,0.605349292731425,0.400307084887031,2014-01-06
735606,183.48,0.574748030996551,-0.0163505559189019,2014-01-07
735607,183.52,0.606500743020674,0.321490845684396,2014-01-08
735608,183.64,0.576344523460167,0.168808538444785,2014-01-09
735609,184.14,0.583840523297612,-0.255240577821222,2014-01-10
735612,181.69,0.629605665068099,0.330232814133961,2014-01-13
735613,183.67,0.586870991150111,0.23411553329341,2014-01-14
735614,184.66,0.587665103538292,-0.205783602296109,2014-01-15
735615,184.42,0.588944189133455,-0.173516972128833,2014-01-16
735616,183.64,0.613768479586907,0.57721629274668,2014-01-17
735620,184.18,0.561721808537928,0.168313606254752,2014-01-21
735621,184.3,0.592847300075034,-0.504612045577866,2014-01-22
735622,182.79,0.643364357746865,-0.651020296515125,2014-01-23
735623,178.89,0.689289943226523,0.0950304656492906,2014-01-24
735626,178.01,0.663899897955432,0.0730296050783638,2014-01-27
735627,179.07,0.639950122662717,-0.832076841458637,2014-01-28
735628,177.35,0.678765304941797,0.834508034959131,2014-01-29
735629,179.23,0.566510621161572,-1.23863192545891,2014-01-30
735630,178.18,0.669552538744096,-0.117858345493326,2014-01-31
735633,174.17,0.637340056825801,0.44783831888385,2014-02-03
735634,175.39,0.613625668329877,-0.347796339586057,2014-02-04
735635,175.17,0.646333402361469,0.234058343323643,2014-02-05
735636,177.48,0.568589647505688,0.467658327698903,2014-02-06
735637,179.68,0.522532831446123,0.0111308993766595,2014-02-07
735640,180.01,0.517156682770149,0.0833287039608942,2014-02-10
735641,181.98,0.512260005820258,0.148367952522261,2014-02-11
735642,182.07,0.519165231241392,-0.675564343384407,2014-02-12
735643,183.01,0.576147350079407,-0.0928910988470507,2014-02-13
735644,184.02,0.550670781297941,0.0869470709705448,2014-02-14
735648,184.24,0.534397251549216,-0.260529743812428,2014-02-18
735649,183.02,0.583338886470208,0.136597093213856,2014-02-19
735650,184.1,0.558020464434563,0.190114068441062,2014-02-20
735651,183.89,0.566703245525401,0.212083310674868,2014-02-21
735654,184.91,0.550247317060259,0.0811205451300663,2014-02-24
735655,184.84,0.566114083026719,0.146072278727554,2014-02-25
735656,184.85,0.562913649226626,-0.146064376521494,2014-02-26
735657,185.82,0.575706091572314,-0.0161446561188253,2014-02-27
735658,186.29,0.568507083680224,-0.880347844758165,2014-02-28
735661,184.98,0.6269011987734,0.97848416044978,2014-03-03
735662,187.58,0.498672772135757,0.0852969399722767,2014-03-04
735663,187.75,0.543141733749646,0.245006657789618,2014-03-05
735664,188.18,0.529423424510868,0.414496758422787,2014-03-06
735665,188.26,0.542168888398425,-0.15404228195049,2014-03-07
735668,188.16,0.575924523233423,0.148809523809524,2014-03-10
735669,187.23,0.582500477703554,-0.486033221171819,2014-03-11
735670,187.28,0.613931026124971,0.299017513882957,2014-03-12
735671,185.18,0.600451816214945,-0.178204989739719,2014-03-13
735672,184.66,0.630089223496425,0.503628289829961,2014-03-14
735675,186.33,0.573832608357114,0.20393924757151,2014-03-17
735676,187.66,0.561526261787579,0.0106575722050571,2014-03-18
735677,186.66,0.577377043838179,-0.219650701810777,2014-03-19
735678,187.75,0.585786903130078,-0.02130492676431,2014-03-20
735679,186.2,0.592021187366279,0.343716433942006,2014-03-21
735682,185.43,0.57275385963135,0.506929838753167,2014-03-24
735683,186.31,0.561888673178223,0.39182008480489,2014-03-25
735684,184.97,0.568818842498367,-0.118938206195599,2014-03-26
735685,184.58,0.590939896893177,0.287138368187236,2014-03-27
735686,185.49,0.563439292522474,0.636152892339198,2014-03-28
735689,187.01,0.514443617065324,0.326185765467095,2014-03-31
735690,188.25,0.514086841580788,0.127490039840642,2014-04-01
735691,188.88,0.519551963457048,0.153536637018208,2014-04-02
735692,188.63,0.531754688189179,0.546042517096963,2014-04-03
735693,186.4,0.548152414318482,-0.241416309012885,2014-04-04
735696,184.34,0.624591431391309,-0.0433980687859458,2014-04-07
735697,185.1,0.611576880342967,0.270124257158293,2014-04-08
735698,187.09,0.561532187825751,-0.00534502111282853,2014-04-09
735699,183.16,0.595543628460677,-0.556890150687929,2014-04-10
735700,181.51,0.64509669058798,0.782326042642287,2014-04-11
735703,182.94,0.574544005014142,0.207718377610143,2014-04-14
735704,184.2,0.571654844938778,0.689467969598268,2014-04-15
735705,186.13,0.517673271687721,-0.134314726266588,2014-04-16
